icmecat_id;sc_insitu;icme_start_time;mo_start_time;mo_end_time;;
ICME_JUNO_DAVIES_20110909_01;Juno;2011-09-09T18:01Z;2011-09-09T21:18Z;2011-09-10T07:13Z;;
ICME_JUNO_DAVIES_20110917_01;Juno;2011-09-17T06:29Z;2011-09-17T19:59Z;2011-09-18T21:51Z;;
ICME_JUNO_DAVIES_20110927_01;Juno;2011-09-27T01:02Z;2011-09-28T00:19Z;2011-09-29T09:47Z;;
ICME_JUNO_DAVIES_20111005_01;Juno;2011-10-05T21:28Z;2011-10-06T03:59Z;2011-10-07T04:41Z;;
ICME_JUNO_DAVIES_20111025_01;Juno;2011-10-25T14:22Z;2011-10-26T00:40Z;2011-10-26T15:27Z;;
ICME_JUNO_DAVIES_20111101_01;Juno;2011-11-01T00:55Z;2011-11-01T14:57Z;2011-11-02T05:01Z;;
ICME_JUNO_DAVIES_20111102_01;Juno;2011-11-02T10:22Z;2011-11-02T14:47Z;2011-11-03T04:25Z;;
ICME_JUNO_DAVIES_20111103_01;Juno;2011-11-03T04:36Z;2011-11-03T04:36Z;2011-11-04T22:39Z;;
ICME_JUNO_DAVIES_20111106_01;Juno;2011-11-06T06:05Z;2011-11-06T15:27Z;2011-11-07T18:07Z;;
ICME_JUNO_DAVIES_20111109_01;Juno;2011-11-09T03:42Z;2011-11-09T10:16Z;2011-11-09T16:30Z;;
ICME_JUNO_DAVIES_20111112_01;Juno;2011-11-12T10:24Z;2011-11-12T11:28Z;2011-11-13T06:00Z;;
ICME_JUNO_DAVIES_20111113_01;Juno;2011-11-13T06:01Z;2011-11-13T15:53Z;2011-11-15T01:38Z;;
ICME_JUNO_DAVIES_20111130_01;Juno;2011-11-30T04:35Z;2011-12-01T13:21Z;2011-12-02T08:54Z;;
ICME_JUNO_DAVIES_20120124_01;Juno;2012-01-24T00:21Z;2012-01-24T05:30Z;2012-01-24T12:46Z;;
ICME_JUNO_DAVIES_20120126_01;Juno;2012-01-26T23:01Z;2012-01-27T17:11Z;2012-01-27T19:33Z;;
ICME_JUNO_DAVIES_20120306_01;Juno;2012-03-06T22:15Z;2012-03-07T00:32Z;2012-03-07T18:44Z;;
ICME_JUNO_DAVIES_20120331_01;Juno;2012-03-31T13:39Z;2012-04-01T12:57Z;2012-04-02T06:19Z;;
ICME_JUNO_DAVIES_20120512_01;Juno;2012-05-12T13:23Z;2012-05-13T15:43Z;2012-05-14T07:43Z;;
ICME_JUNO_DAVIES_20120517_01;Juno;2012-05-17T09:34Z;2012-05-18T10:15Z;2012-05-20T15:04Z;;
ICME_JUNO_DAVIES_20121115_01;Juno;2012-11-15T13:53Z;2012-11-16T13:37Z;2012-11-18T16:35Z;;
ICME_JUNO_DAVIES_20121118_01;Juno;2012-11-18T23:10Z;2012-11-19T21:11Z;2012-11-22T03:46Z;;
ICME_JUNO_DAVIES_20121129_01;Juno;2012-11-29T01:25Z;2012-11-29T19:03Z;2012-12-01T01:09Z;;
ICME_JUNO_DAVIES_20130319_01;Juno;2013-03-19T21:30Z;2013-03-20T08:20Z;2013-03-21T08:52Z;;
ICME_JUNO_DAVIES_20130415_01;Juno;2013-04-15T18:22Z;2013-04-17T01:10Z;2013-04-18T13:04Z;;
ICME_JUNO_DAVIES_20130502_01;Juno;2013-05-02T03:44Z;2013-05-02T10:34Z;2013-05-03T06:07Z;;
ICME_JUNO_DAVIES_20131029_01;Juno;2013-10-29T22:56Z;2013-10-31T13:07Z;2013-10-31T21:04Z;;
ICME_JUNO_DAVIES_20131109_01;Juno;2013-11-09T18:04Z;2013-11-09T20:20Z;2013-11-09T23:18Z;;
ICME_JUNO_DAVIES_20131111_01;Juno;2013-11-11T14:42Z;2013-11-11T23:03Z;2013-11-12T08:06Z;;
ICME_JUNO_DAVIES_20131123_01;Juno;2013-11-23T23:27Z;2013-11-24T08:42Z;2013-11-25T05:34Z;;
ICME_JUNO_DAVIES_20131202_01;Juno;2013-12-02T03:04Z;2013-12-03T13:28Z;2013-12-04T12:10Z;;
ICME_JUNO_DAVIES_20131210_01;Juno;2013-12-10T03:01Z;2013-12-10T06:26Z;2013-12-10T18:39Z;;
ICME_JUNO_DAVIES_20131216_01;Juno;2013-12-16T17:30Z;2013-12-17T10:50Z;2013-12-18T00:42Z;;
ICME_JUNO_DAVIES_20131227_01;Juno;2013-12-27T22:40Z;2013-12-28T07:59Z;2013-12-28T21:04Z;;
ICME_JUNO_DAVIES_20140208_01;Juno;2014-02-08T10:07Z;2014-02-08T20:32Z;2014-02-09T23:57Z;;
