,icmecat_id,sc_insitu,icme_start_time,mo_start_time,mo_end_time,mo_sc_heliodistance,mo_sc_long_heeq,mo_sc_lat_heeq,icme_duration,icme_bmax,icme_bmean,icme_bstd,icme_speed_mean,icme_speed_std,mo_duration,mo_bmax,mo_bmean,mo_bstd,mo_bzmean,mo_bzmin,mo_bzstd,mo_bymean,mo_bystd,mo_speed_mean,mo_speed_std,mo_expansion_speed,mo_pdyn_mean,mo_pdyn_std,mo_density_mean,mo_density_std,mo_temperature_mean,mo_temperature_std,sheath_speed_mean,sheath_speed_std,sheath_density_mean,sheath_density_std,sheath_pdyn_mean,sheath_pdyn_std
0,ICME_Wind_NASA_20070114_01,Wind,2007-01-14T11:31Z,2007-01-14T11:44Z,2007-01-15T07:45Z,0.9729,0.14,-4.43,20.23,14.6,11.4,2.5,361.1,12.9,20.02,14.6,11.4,2.5,1.5,-10.5,4.4,6.9,3.5,361.7,11.8,-35.6,1.1,0.5,5.0,2.1,15652.6,9616.6,310.4,1.2,1.1,0.1,0.2,0.0
1,ICME_Wind_NASA_20070115_01,Wind,2007-01-15T20:49Z,2007-01-15T20:49Z,2007-01-16T04:45Z,0.9731,0.15,-4.57,7.93,10.4,8.0,1.1,531.0,28.7,7.93,10.4,8.0,1.1,0.5,-6.8,3.1,-2.9,2.0,531.0,28.7,-58.6,1.9,0.7,4.1,1.4,97358.1,37602.1,,,,,,
2,ICME_Wind_NASA_20070329_01,Wind,2007-03-29T15:04Z,2007-03-29T15:04Z,2007-03-30T00:03Z,0.99,-0.02,-6.74,8.98,6.1,4.6,1.0,396.4,3.3,8.98,6.1,4.6,1.0,1.6,-5.0,2.4,-3.3,1.5,396.4,3.3,,1.4,0.3,5.2,1.0,16707.4,8263.1,,,,,,
3,ICME_Wind_NASA_20070521_01,Wind,2007-05-21T22:40Z,2007-05-21T22:45Z,2007-05-22T13:25Z,1.002,-0.23,-1.91,14.75,14.0,10.6,1.8,454.5,8.4,14.67,14.0,10.6,1.8,3.8,-7.4,5.0,-3.7,6.0,454.5,8.4,11.5,2.3,0.9,6.7,2.6,41975.6,17102.7,462.5,2.1,1.9,0.2,0.7,0.1
4,ICME_Wind_NASA_20070608_01,Wind,2007-06-08T05:45Z,2007-06-08T05:45Z,2007-06-09T05:15Z,1.004,-0.13,0.19,23.5,9.8,7.8,1.1,362.4,8.4,23.5,9.8,7.8,1.1,1.3,-5.9,4.2,5.3,2.0,362.4,8.4,-20.1,1.6,0.4,7.3,1.9,53830.2,25294.9,,,,,,
5,ICME_Wind_NASA_20071119_01,Wind,2007-11-19T17:22Z,2007-11-20T00:33Z,2007-11-20T11:31Z,0.9781,-0.21,2.37,18.15,19.9,14.1,5.4,454.4,25.6,10.97,19.9,18.2,1.3,-5.8,-18.0,8.2,13.3,4.0,465.3,10.8,-4.5,4.4,3.3,12.4,9.7,25979.3,13532.3,434.3,31.9,24.4,9.2,8.0,7.2
6,ICME_Wind_NASA_20071225_01,Wind,2007-12-25T16:19Z,2007-12-25T16:19Z,2007-12-26T09:35Z,0.9726,0.06,-2.14,17.27,6.0,4.3,1.1,349.7,11.1,17.27,6.0,4.3,1.1,-0.3,-3.3,1.2,3.8,1.0,349.7,11.1,,1.2,0.3,5.9,1.9,10124.6,3825.5,,,,,,
7,ICME_Wind_NASA_20080523_01,Wind,2008-05-23T01:12Z,2008-05-23T01:12Z,2008-05-23T10:47Z,1.0018,-0.17,-1.67,9.58,5.6,5.1,0.3,499.5,14.6,9.58,5.6,5.1,0.3,0.5,-4.2,2.1,-1.5,2.5,499.5,14.6,17.8,1.1,0.1,2.7,0.2,89951.9,21432.1,,,,,,
8,ICME_Wind_NASA_20080903_01,Wind,2008-09-03T16:33Z,2008-09-03T16:33Z,2008-09-04T03:50Z,1.0,0.08,7.18,11.28,13.4,11.4,1.2,467.5,16.7,11.28,13.4,11.4,1.2,0.1,-10.9,6.6,-4.9,5.2,467.5,16.7,-30.8,3.6,1.6,9.7,3.9,67903.7,31450.0,,,,,,
9,ICME_Wind_NASA_20080917_01,Wind,2008-09-17T00:43Z,2008-09-17T03:57Z,2008-09-18T08:09Z,0.9965,-0.04,7.12,31.43,7.0,5.4,1.2,415.0,33.7,28.2,7.0,5.7,0.9,1.4,-3.9,2.0,-0.6,3.3,407.4,26.4,51.2,0.9,0.3,3.5,1.7,15013.6,8779.7,480.0,11.6,2.6,0.8,1.0,0.3
