,icmecat_id,sc_insitu,icme_start_time,mo_start_time,mo_end_time,mo_sc_heliodistance,mo_sc_long_heeq,mo_sc_lat_heeq,icme_duration,icme_bmax,icme_bmean,icme_bstd,icme_speed_mean,icme_speed_std,mo_duration,mo_bmax,mo_bmean,mo_bstd,mo_bzmean,mo_bzmin,mo_bzstd,mo_bymean,mo_bystd,mo_speed_mean,mo_speed_std,mo_expansion_speed,mo_pdyn_mean,mo_pdyn_std,mo_density_mean,mo_density_std,mo_temperature_mean,mo_temperature_std,sheath_speed_mean,sheath_speed_std,sheath_density_mean,sheath_density_std,sheath_pdyn_mean,sheath_pdyn_std
0,ICME_STEREO_A_MOESTL_20220526_01,STEREO-A,2022-05-26T14:01Z,2022-05-26T14:01Z,2022-05-27T06:35Z,0.9619,-29.0,-4.64,16.57,9.5,8.2,0.4,,,16.57,9.5,8.2,0.4,-3.2,-8.0,2.1,5.7,1.4,,,,,,,,,,,,,,,
1,ICME_Wind_MOESTL_20220414_01,Wind,2022-04-14T12:58Z,2022-04-14T12:58Z,2022-04-15T02:08Z,0.9946,0.09,-5.74,13.17,20.8,17.4,2.7,519.0,25.9,13.17,20.8,17.4,2.7,-3.6,-12.5,6.8,3.0,7.3,519.0,25.9,0.2,2.6,1.4,5.5,2.4,232500.5,38636.8,,,,,,
2,ICME_BEPI_MOESTL_20220413_01,BepiColombo,2022-04-13T03:52Z,2022-04-13T07:34Z,2022-04-13T19:43Z,0.66,-0.65,-2.31,15.85,42.4,33.3,7.1,,,12.15,42.4,36.4,4.1,1.2,-38.9,18.9,21.2,6.9,,,,,,,,,,,,,,,
3,ICME_Wind_MOESTL_20220413_01,Wind,2022-04-13T01:46Z,2022-04-13T01:46Z,2022-04-13T23:04Z,0.9941,0.1,-5.85,21.3,11.3,9.9,1.1,467.1,30.4,21.3,11.3,9.9,1.1,-0.3,-7.9,3.8,-0.7,2.9,467.1,30.4,54.1,0.8,0.3,2.1,1.0,178265.2,49003.9,,,,,,
4,ICME_Wind_MOESTL_20220409_01,Wind,2022-04-09T13:26Z,2022-04-09T13:26Z,2022-04-09T23:32Z,0.9931,0.13,-6.11,10.1,14.8,12.7,1.2,385.7,17.4,10.1,14.8,12.7,1.2,-1.5,-13.0,5.7,-10.3,2.3,385.7,17.4,-35.6,2.8,0.9,11.2,3.8,54257.6,31705.9,,,,,,
5,ICME_Wind_MOESTL_20220408_01,Wind,2022-04-08T22:26Z,2022-04-08T22:26Z,2022-04-09T04:12Z,0.9929,0.13,-6.15,5.77,11.1,10.3,1.0,356.4,8.2,5.77,11.1,10.3,1.0,0.5,-6.8,2.8,8.6,1.8,356.4,8.2,-7.0,1.0,0.4,4.6,1.8,56302.4,17139.5,,,,,,
6,ICME_Wind_MOESTL_20220331_01,Wind,2022-03-31T01:40Z,2022-03-31T14:32Z,2022-04-01T12:04Z,0.9904,0.19,-6.65,34.4,23.6,17.1,5.1,518.0,43.0,21.53,23.6,20.1,2.5,1.1,-14.2,9.6,-10.3,9.9,496.6,30.5,63.3,2.2,1.4,5.1,2.9,257240.1,70706.2,553.9,36.5,15.7,10.1,7.6,4.0
7,ICME_BEPI_MOESTL_20220329_01,BepiColombo,2022-03-29T22:52Z,2022-03-30T08:32Z,2022-03-30T17:01Z,0.5857,-10.18,-1.56,18.15,29.5,20.8,3.0,,,8.48,20.4,18.2,0.6,-6.7,-11.2,2.8,-4.2,2.8,,,,,,,,,,,,,,,
8,ICME_BEPI_MOESTL_20220326_01,BepiColombo,2022-03-26T14:03Z,2022-03-26T14:03Z,2022-03-26T20:54Z,0.5583,-13.96,-1.26,6.85,26.1,22.9,1.4,,,6.85,26.1,22.9,1.4,-3.8,-21.8,7.8,-17.9,8.5,,,,,,,,,,,,,,,
9,ICME_STEREO_A_MOESTL_20220320_01,STEREO-A,2022-03-20T20:50Z,2022-03-20T20:50Z,2022-03-21T18:06Z,0.967,-33.57,-6.96,21.27,14.1,12.2,1.6,,,21.27,14.1,12.2,1.6,2.8,-13.2,7.8,-6.9,5.1,,,,,,,,,,,,,,,
10,ICME_Wind_MOESTL_20220313_01,Wind,2022-03-13T10:04Z,2022-03-13T22:42Z,2022-03-15T12:10Z,0.9849,0.25,-7.26,50.1,27.2,17.0,6.1,422.3,39.9,37.47,24.5,15.9,5.9,11.2,-2.8,5.8,-1.1,11.0,405.6,25.6,29.1,1.9,1.2,6.6,4.0,82390.5,40870.1,471.8,32.8,24.0,11.1,8.9,4.1
11,ICME_STEREO_A_MOESTL_20220312_01,STEREO-A,2022-03-12T21:13Z,2022-03-13T06:29Z,2022-03-14T11:38Z,0.9672,-33.85,-6.58,38.42,25.1,17.4,4.9,,,29.15,25.1,19.2,4.2,-3.2,-15.6,6.2,12.9,6.9,,,,,,,,,,,,,,,
12,ICME_Wind_MOESTL_20220310_01,Wind,2022-03-10T16:12Z,2022-03-10T19:10Z,2022-03-11T00:58Z,0.9839,0.25,-7.3,8.77,17.2,12.3,2.7,369.3,11.6,5.8,17.2,13.8,1.8,-1.5,-10.9,7.2,-10.6,3.6,363.6,8.5,15.7,3.6,0.7,16.4,3.3,68912.6,6821.8,380.5,8.1,14.9,4.2,3.6,1.1
13,ICME_Wind_MOESTL_20220211_01,Wind,2022-02-11T09:18Z,2022-02-11T10:44Z,2022-02-11T17:38Z,0.9763,0.14,-6.7,8.33,21.0,16.3,2.2,427.6,8.9,6.9,21.0,17.0,1.6,15.8,7.7,2.4,-1.3,5.3,428.9,7.2,8.6,4.6,2.9,15.1,9.4,127334.0,18499.9,421.4,12.8,18.2,6.9,5.3,2.0
14,ICME_Wind_MOESTL_20220209_01,Wind,2022-02-09T20:04Z,2022-02-10T13:40Z,2022-02-11T05:52Z,0.9761,0.13,-6.65,33.8,14.5,11.0,1.9,406.7,12.4,16.2,14.5,12.4,1.1,-3.8,-14.0,6.5,9.2,2.2,404.7,12.7,26.1,1.0,0.3,3.8,1.2,134348.4,21825.1,408.5,11.9,10.6,3.1,3.0,0.9
15,ICME_Wind_MOESTL_20220203_01,Wind,2022-02-03T22:52Z,2022-02-04T04:12Z,2022-02-04T13:52Z,0.9748,0.08,-6.27,15.0,11.8,9.4,2.4,536.5,24.0,9.67,11.8,11.0,0.7,-6.0,-10.0,2.2,7.8,1.6,524.4,19.2,27.3,2.2,0.6,4.8,1.4,42907.8,19192.4,558.4,14.1,13.3,4.4,6.9,2.4
16,ICME_STEREO_A_MOESTL_20220203_01,STEREO-A,2022-02-03T01:47Z,2022-02-03T01:47Z,2022-02-03T06:27Z,0.9667,-34.59,-3.0,4.67,15.3,13.6,0.8,,,4.67,15.3,13.6,0.8,0.4,-6.1,3.9,12.1,1.7,,,,,,,,,,,,,,,
17,ICME_STEREO_A_MOESTL_20220202_01,STEREO-A,2022-02-02T03:34Z,2022-02-02T12:50Z,2022-02-03T00:52Z,0.9666,-34.6,-2.94,21.3,20.2,14.5,3.8,,,12.03,18.6,17.1,1.3,8.3,-10.5,7.4,-3.1,9.0,,,,,,,,,,,,,,,
18,ICME_Wind_MOESTL_20220201_01,Wind,2022-02-01T21:26Z,2022-02-02T20:46Z,2022-02-03T10:40Z,0.9746,0.07,-6.18,37.23,19.8,10.7,4.0,457.1,36.4,13.9,19.8,14.8,3.0,-7.5,-19.0,6.9,-6.1,8.6,479.2,42.2,-36.9,1.5,0.5,4.1,2.0,224251.1,68451.6,443.9,24.4,9.7,2.4,3.3,1.0
19,ICME_SOLO_MOESTL_20220125_01,SolarOrbiter,2022-01-25T13:05Z,2022-01-25T14:02Z,2022-01-27T07:15Z,0.8937,-17.86,-1.75,42.17,15.1,10.9,2.4,,,41.22,15.1,10.9,2.4,0.4,-12.5,4.5,-8.9,3.3,,,,,,,,,,,,,,,
20,ICME_STEREO_A_MOESTL_20220125_01,STEREO-A,2022-01-25T07:24Z,2022-01-25T19:25Z,2022-01-26T21:01Z,0.9662,-34.67,-1.97,37.62,15.2,11.0,3.0,,,25.6,15.2,12.5,1.8,2.5,-10.0,6.6,-7.1,4.4,,,,,,,,,,,,,,,
