,event,event_start_time,spacecraft,sc_heliodistance,sc_heeq_lon,cme_heeq_lon,speed,mo_bmax,mo_bzmin,id
0,1,2020-04-15T20:49Z,HIA,0.967,-75.4,-6,339,-,-,HCME_A__20200415_01
1,1,2020-04-19T05:06Z,SolarOrbiter,0.808,-4.0,-,-,21.2,-19.2,ICME_SOLO_MOESTL_20200419_01
2,1,2020-04-20T01:34Z,Wind,0.996,0.2,-,346,16.2,-15.1,ICME_Wind_MOESTL_20200420_01
3,1,2020-04-20T03:09Z,BepiColombo,1.011,-1.3,-,-,16.1,-14.4,ICME_BEPI_MOESTL_20200420_01
4,2,2020-05-26T01:29Z,HIA,0.966,-72.3,36,497,-,-,HCME_A__20200526_01
5,2,2020-05-28T12:45Z,SolarOrbiter,0.564,28.2,-,-,28.2,-26.6,ICME_SOLO_MOESTL_20200528_01
6,2,2020-05-29T21:20Z,Wind,1.005,-0.2,-,350,14.5,-12.4,ICME_Wind_MOESTL_20200529_01
7,2,2020-05-29T15:27Z,BepiColombo,0.977,-5.2,-,-,13.1,-11.5,ICME_BEPI_MOESTL_20200529_01
8,3,2020-05-27T04:49Z,HIA,0.966,-72.2,-47,315,-,-,HCME_A__20200527_01
9,3,2020-06-03T07:54Z,STEREO-A,0.965,-71.5,-,373,9.9,-4.6,ICME_STEREO_A_MOESTL_20200603_01
10,4,2020-06-23T00:49Z,HIA,0.963,-69.6,16,290,-,-,HCME_A__20200623_01
11,4,2020-06-25T11:39Z,PSP,0.523,19.9,-,302,27.4,-23.1,ICME_PSP_MOESTL_20200625_01
12,4,2020-06-29T09:44Z,BepiColombo,0.881,-3.9,-,-,11.4,-7.8,ICME_BEPI_MOESTL_20200629_01
13,4,2020-06-30T01:12Z,Wind,1.007,-0.2,-,332,6.4,-3.3,ICME_Wind_MOESTL_20200630_01
14,5,2020-07-06T06:09Z,HIA,0.962,-68.4,-61,407,-,-,HCME_A__20200706_01
15,5,2020-07-09T14:17Z,STEREO-A,0.962,-68.0,-,374,15.3,-13.9,ICME_STEREO_A_MOESTL_20200709_01
16,6,2020-07-09T08:49Z,HIA,0.962,-68.1,47,493,-,-,HCME_A__20200709_01
17,6,2020-07-13T20:18Z,Wind,1.006,-0.2,-,377,9.4,-8.9,ICME_Wind_MOESTL_20200713_01
18,7,2020-08-16T14:09Z,HIA,0.958,-64.8,-47,467,-,-,HCME_A__20200816_01
19,7,2020-08-19T21:11Z,STEREO-A,0.958,-64.6,-,-,19.6,-13.4,ICME_STEREO_A_MOESTL_20200819_01
20,8,2020-09-08T16:49Z,HIA,0.957,-63.1,41,237,-,-,HCME_A__20200908_01
21,8,2020-09-12T10:23Z,PSP,0.473,13.0,-,350,19.4,-9.6,ICME_PSP_MOESTL_20200912_01
22,9,2020-09-30T18:49Z,HIA,0.956,-61.5,-14,322,-,-,HCME_A__20200930_01
23,9,2020-10-05T06:52Z,Wind,0.991,0.2,-,353,10.7,-8.6,ICME_Wind_MOESTL_20201005_01
24,10,2020-10-06T15:29Z,HIA,0.956,-61.1,65,619,-,-,HCME_A__20201006_01
25,10,2020-10-08T10:27Z,BepiColombo,0.694,79.5,-,-,15.2,-11.0,ICME_BEPI_MOESTL_20201008_01
26,10,2020-10-10T04:07Z,BepiColombo,0.698,80.4,-,-,12.3,-4.5,ICME_BEPI_MOESTL_20201010_01
27,11,2020-10-26T19:29Z,HIA,0.957,-59.7,-33,384,-,-,HCME_A__20201026_01
28,11,2020-11-01T11:54Z,Wind,0.984,0.1,-,352,9.4,-7.4,ICME_Wind_MOESTL_20201101_01
29,12,2020-12-01T02:22Z,PSP,0.804,-96.8,-,-,39.0,14.6,ICME_PSP_MOESTL_20201201_01
30,12,2020-12-01T07:28Z,STEREO-A,0.959,-57.6,-,-,15.9,-12.1,ICME_STEREO_A_MOESTL_20201201_01
31,13,2020-11-29T16:09Z,HIA,0.959,-57.7,-23,537,-,-,HCME_A__20201129_01
32,13,2020-12-01T10:49Z,HIA,0.959,-57.6,-37,652,-,-,HCME_A__20201201_01
33,13,2020-12-03T18:04Z,STEREO-A,0.96,-57.5,-,-,10.1,-9.3,ICME_STEREO_A_MOESTL_20201203_01
34,14,2021-02-11T01:29Z,HIA,0.966,-55.8,-24,380,-,-,HCME_A__20210211_01
35,14,2021-02-15T18:58Z,Wind,0.977,0.1,-,354,11.2,-10.0,ICME_Wind_MOESTL_20210215_01
36,15,2021-02-20T16:48Z,HIA,0.967,-55.7,-26,423,-,-,HCME_A__20210220_01
37,15,2021-02-23T10:34Z,STEREO-A,0.967,-55.7,-,-,11.4,-10.8,ICME_STEREO_A_MOESTL_20210223_01
38,15,2021-02-24T04:08Z,Wind,0.979,0.2,-,481,9.4,-6.8,ICME_Wind_MOESTL_20210224_01
39,16,2021-03-22T08:48Z,HIA,0.967,-55.0,-8,353,-,-,HCME_A__20210322_01
40,16,2021-03-26T18:00Z,Wind,0.989,0.2,-,373,6.9,-4.7,ICME_Wind_MOESTL_20210326_01
41,17,2021-03-31T00:08Z,HIA,0.967,-54.7,-28,397,-,-,HCME_A__20210331_01
42,17,2021-04-04T21:52Z,Wind,0.992,0.2,-,320,9.0,-8.4,ICME_Wind_MOESTL_20210404_01
43,17,2021-04-06T01:27Z,STEREO-A,0.967,-54.4,-,-,12.5,-10.2,ICME_STEREO_A_MOESTL_20210406_01
