,sircat_id,sc_insitu,sir_start_time,hss_start_time,sir_end_time,hss_end_time,hss_vtmax_time,sc_heliodistance,sc_long_heeq,sc_lat_heeq,hss_vtmax,hss_vtmean,hss_vtstd,hss_btmax,hss_btmean,hss_btstd,hss_bzmin,hss_bzmean,hss_bzstd,hss_duration,sir_vtmax,sir_vtmean,sir_vtstd,sir_btmax,sir_btmean,sir_btstd,sir_bzmin,sir_bzmean,sir_bzstd,sir_duration
0,SIR_MAVEN_HUANG_20141203_01,MAVEN,2014-12-03T03:25Z,2014-12-03T13:04Z,2014-12-03T22:56Z,,,1.3818,-100.64,5.18,,,,,,,,,,,567.2,515.6,31.0,5.1,4.7,0.3,-1.4,0.2,1.4,9.87
1,SIR_MAVEN_HUANG_20141217_01,MAVEN,2014-12-17T22:25Z,2014-12-18T18:02Z,2014-12-21T02:30Z,,,1.3815,-106.3,5.49,,,,,,,,,,,378.7,354.9,19.6,9.2,7.0,1.7,-3.5,-0.1,1.9,56.47
2,SIR_MAVEN_HUANG_20141226_01,MAVEN,2014-12-26T11:58Z,2014-12-26T21:33Z,2014-12-29T05:28Z,,,1.3827,-109.31,5.59,,,,,,,,,,,605.9,499.0,88.0,9.4,6.0,1.6,-3.5,-0.1,1.7,55.92
3,SIR_MAVEN_HUANG_20141230_01,MAVEN,2014-12-30T21:29Z,2015-01-01T05:49Z,2015-01-02T23:28Z,,,1.3841,-111.39,5.63,,,,,,,,,,,539.0,447.7,67.8,8.3,5.3,1.3,-3.3,-0.1,2.0,41.65
4,SIR_MAVEN_HUANG_20150103_01,MAVEN,2015-01-03T13:00Z,2015-01-04T04:28Z,2015-01-04T23:36Z,,,1.3849,-112.48,5.64,,,,,,,,,,,549.5,487.9,42.2,5.5,4.4,0.8,-1.6,0.1,1.1,19.13
5,SIR_MAVEN_HUANG_20150112_01,MAVEN,2015-01-12T15:26Z,2015-01-13T19:16Z,2015-01-14T22:49Z,,,1.3887,-116.12,5.65,,,,,,,,,,,464.7,368.3,60.4,11.0,7.0,2.7,-2.9,0.6,2.3,27.55
6,SIR_MAVEN_HUANG_20150120_01,MAVEN,2015-01-20T22:19Z,2015-01-21T15:54Z,2015-01-22T14:00Z,,,1.3928,-119.23,5.61,,,,,,,,,,,375.9,334.2,21.3,7.5,5.1,1.9,-2.8,-0.9,1.2,22.1
7,SIR_MAVEN_HUANG_20150129_01,MAVEN,2015-01-29T17:14Z,2015-01-30T09:04Z,2015-01-31T08:47Z,,,1.3981,-122.61,5.51,,,,,,,,,,,443.0,358.2,51.4,18.0,12.1,4.1,-15.9,-7.5,4.4,23.72
8,SIR_MAVEN_HUANG_20150206_01,MAVEN,2015-02-06T19:48Z,2015-02-09T20:07Z,2015-02-11T18:16Z,,,1.4057,-126.79,5.34,,,,,,,,,,,430.2,342.2,35.5,8.8,5.3,1.6,-2.3,0.7,1.8,46.15
9,SIR_MAVEN_HUANG_20150218_01,MAVEN,2015-02-18T07:34Z,2015-02-18T21:56Z,2015-02-20T08:46Z,,,1.4134,-130.47,5.13,,,,,,,,,,,357.1,330.5,18.4,5.6,4.1,1.0,-3.1,0.6,1.8,34.83
