#ListTitle: List of Stream Interaction Regions (SIRs) and Co-rotation Interaction Regions (CIRs) Observed by Parker Solar Probe,,,,,,,,,,,,,
#CreationDate: 2020-04-22,,,,,,,,,,,,,
#ModifyDate: 2022-01-20,,,,,,,,,,,,,
#FieldNames: Event_number SIR_start_time SIR_end_time Pmax_time Radial_distance Pmax Bmax Npmax Vmin Vmax ambiguous_event_marker Notes STA_conj L1_conj CIR Shock HCS,,,,,,,,,,,,,
#FieldUnits: None DateTime DateTime DateTime au nPa nT cm^-3 km/s km/s None None None None None None None,,,,,,,,,,,,,
#FieldTypes: int char char char float float float float float float int char int int int int int,,,,,,,,,,,,,
#FieldNulls: -1 0001-01-01/00:00:00 0001-01-01/00:00:00 0001-01-01/00:00:00 -1 -1 -1 -1 -1 -1 -1 -- -1 -1 -1 -1 -1,,,,,,,,,,,,,
#ListBeginDate: 2018-10-03/00:00:00:00Z,,,,,,,,,,,,,
#ListEndDate: 2020-10-01/00:00:00:00Z,,,,,,,,,,,,,
#Contact: Robert C. Allen (Robert.Allen@jhuapl.edu),,,,,,,,,,,,,
#,,,,,,,,,,,,,
#Description:,,,,,,,,,,,,,
#The event list is compiled by Dr. Robert C. Allen (Robert.Allen@jhuapl.edu) based on visual inspection for reference purposes only.,,,,,,,,,,,,,
"#Not all of the desired data are always available for event identification, such as during Ka-band downlinks or certain instrument operation modes.",,,,,,,,,,,,,
"#As such, some of the event identifications are marked as ambiguous. Since the interaction region around the interface is the focus of this list,",,,,,,,,,,,,,
#the continuous rise of fast wind beyond the interaction region is not included in the listed times. For event details and information on ambiguous,,,,,,,,,,,,,
"#events, please contact Dr. Robert C. Allen. The intention of this list is to be an aid for research, and no guarantees as to its accuracy are given.",,,,,,,,,,,,,
"#Authors of studies using this list are encouraged to check values and structures with the latest public data file version, as these events may have",,,,,,,,,,,,,
#been initially analyzed with data using outdated calibrations.,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#Some events are marked with an ambiguous event marker. These ambiguous markers are denoted by three possible values. A value of 0,,,,,,,,,,,,,
#denotes an event that has all desired data for identification throughout the event. A value of 1 denotes an event that has most of the desired data,,,,,,,,,,,,,
"#for most of the event, but with some minor gaps (usually due to Ka-band downlinks or certain instrument operational modes). These events",,,,,,,,,,,,,
"#(ambiquous marker=1) are events with a high confidence that it is an SIR or CIR, although some of the fields (e.g., Pmax) may not be reliable",,,,,,,,,,,,,
"#due to data gaps. Finally, events with the ambiquous marker set to 2 denote events that are likely an SIR or CIR, but the gaps or data availablity",,,,,,,,,,,,,
"#make this difficult to fully discern, and due to most of the velocity increase ocurring during a data gap, all of the supporting values (e.g., Pmax)",,,,,,,,,,,,,
#are set to a fill value (-1).,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#The CIR marker distinguishes between events that are SIRs (0) and CIRs (1). This is based on comparing to 1 au measurments to determine if,,,,,,,,,,,,,
#the structure has persisted for more than one solar rotation.,,,,,,,,,,,,,
#,,,,,,,,,,,,,
"#If either the STEREO-A Conjunction or L1 Conjuction markers are 1, then the structure observed at PSP was also oberved at STEREO-A and/or",,,,,,,,,,,,,
"#L1 (ACE and/or Wind), respectively. For the times of those observations contact Dr. Robert C. Allen for an additional list. These lists will",,,,,,,,,,,,,
#be made public shortly as data is made available. A value of 2 indicates this is still in the works.,,,,,,,,,,,,,
#,,,,,,,,,,,,,
#The criteria for event classification are based on the following two papers:,,,,,,,,,,,,,
"#L. Jian, C.T. Russell, J.G. Luhmann, and R.M. Skoug, Properties of Stream Interactions at One AU during 1995 - 2004,",,,,,,,,,,,,,
"#Solar Phys., 239, 337-392, 2006.",,,,,,,,,,,,,
"#L.K. Jian, C.T. Russell, J.G. Luhmann, A.B. Galvin, K.D.C. Simunac, Solar Wind Observations at STEREO: 2007 - 2011,",,,,,,,,,,,,,
"#Amer. Inst. Phys. Proceedings of Solar Wind 13, 1539, 191-194, doi: 10.1063/1.4811020, 2013.",,,,,,,,,,,,,
#,,,,,,,,,,,,,
#Further information about this list can be found in the following paper:,,,,,,,,,,,,,
"#Allen et al. (2020), A Living Catalog of Stream Interaction Regions in the Parker Solar Probe Era, A&A, doi: 10.1051/0004-6361/202039833.",,,,,,,,,,,,,
#,,,,,,,,,,,,,
"#If using this list, please cite the aforementioned Allen et al. (2020) paper.",,,,,,,,,,,,,
#,,,,,,,,,,,,,
Event number,Start time,End time,Time of max P,R [au],Max P [nPa],Max B [nT],Max np [cm^-3],Min V [km/s],Max V [km/s],Ambiguous Marker,Notes,STEREO-A Conjunction,L1 conjunction
1,2018-10-03/22:00:00,2018-10-06/08:00:00,0001-01-01/00:00:00,0.720676,-1,-1,-1,342.552,574.512,2,--,1,1
2,2018-11-14/20:40:00,2018-11-15/07:25:00,2018-11-14/23:56:30,0.322261,1.34865,50.9123,158.539,346.212,665.662,0,"Allen et al. (2020, ApJS)",1,1
3,2018-11-26/15:05:00,2018-11-27/06:10:00,0001-01-01/00:00:00,0.54728,-1,-1,-1,359.577,662.133,2,"Allen et al. (2020, ApJS)",1,0
4,2019-04-06/20:20:00,2019-04-07/01:25:00,2019-04-06/21:55:30,0.17963,3.90188,96.7488,321.656,210.713,498.362,0,--,0,0
5,2019-04-16/19:40:00,2019-04-17/18:00:00,0001-01-01/00:00:00,0.387598,-1,-1,-1,319.624,716.648,2,--,0,0
6,2019-08-22/22:00:00,2019-08-23/04:40:00,2019-08-23/00:59:30,0.341043,0.711382,40.7021,102.738,282.936,456.746,0,--,0,0
7,2019-08-24/06:00:00,2019-08-24/15:30:00,2019-08-24/08:37:30,0.31176,0.9175,43.9865,178.496,305.672,431.362,0,--,0,0
8,2019-08-26/04:55:00,2019-08-26/11:50:00,2019-08-26/06:22:30,0.268673,1.50015,52.7407,184.98,314.993,495.589,0,--,0,0
9,2019-08-29/05:30:00,2019-08-29/13:50:00,2019-08-29/07:03:30,0.203843,3.87479,90.3431,285.667,266.678,476.29,0,--,0,0
10,2019-09-19/12:35:00,2019-09-20/13:45:00,0001-01-01/00:00:00,0.501342,-1,-1,-1,315.164,750.603,2,"Allen et al. (2021, GRL), Wijsen et al. (2021, ApJLett) ",1,1
11,2020-05-16/18:50:00,2020-05-16/21:02:00,2020-05-16/20:04:30,0.574945,0.136984,13.5893,44.5184,300.175,375.508,0,--,0,1
12,2020-05-19/09:04:00,2020-05-19/15:48:00,2020-05-19/10:40:30,0.532804,0.184542,16.6234,43.1323,316.97,455.412,0,--,0,1
13,2020-05-22/05:05:00,2020-05-22/08:05:00,0001-01-01/00:00:00,0.483624,-1,-1,-1,363.129,533.263,2,--,0,1
14,2020-08-25/09:20:00,2020-08-26/04:20:00,2020-08-25/16:11:30,0.716334,0.0869921,12.4409,32.3199,282.455,419.001,0,--,1,1
15,2020-08-28/01:50:00,2020-08-28/12:55:00,2020-08-28/06:53:30,0.691588,0.0605182,11.4855,17.8359,327.739,493.532,0,--,1,1
16,2020-08-30/08:40:00,2020-08-31/11:20:00,2020-08-30/17:21:30,0.665645,0.1536,15.1628,31.688,337.59,594.621,0,--,1,1
17,2020-09-21/23:30:00,2020-09-22/04:50:00,2020-09-22/01:51:30,0.240937,1.73921,60.2745,315.495,244.333,361.663,0,--,1,1
18,2021-01-12/14:05:00,2021-01-12/19:30:00,2021-01-12/16:20:30,0.2331,2.93766,78.6097,267.895,255.915,526.875,0,--,1,1
19,2021-01-24/05:00:00,2021-01-24/15:00:00,0001-01-01/00:00:00,0.275624,-1,-1,-1,269.373,380.494,2,--,1,1
20,2021-01-28/18:30:00,2021-01-29/07:00:00,2021-01-29/05:21:30,0.403751,0.484862,32.4621,171.527,261.235,483.612,0,--,1,1
21,2021-01-29/19:30:00,2021-01-30/01:30:00,2021-01-29/20:31:30,0.417794,0.383958,26.9623,51.946,333.957,633.389,1,--,1,1
22,2021-04-24/21:40:00,2021-04-25/01:30:00,2021-04-25/00:05:30,0.216877,3.76233,86.5659,736.572,226.761,427.328,0,--,1,0
23,2021-04-26/09:00:00,2021-04-26/11:30:00,2021-04-26/11:29:30,0.163556,7.64865,136.159,638.723,224.067,398.883,0,--,2,0
24,2021-04-26/18:20:00,2021-04-27/02:00:00,2021-04-26/20:00:30,0.150044,12.3292,152.612,2594.44,234.323,572.364,0,--,2,2
25,2021-05-14/11:50:00,2021-05-14/20:20:00,2021-05-14/16:14:30,0.492331,0.395544,28.0632,93.9169,264.805,491.528,0,--,2,2
26,2021-06-07/13:20:00,2021-06-08/01:20:00,0001-01-01/00:00:00,0.753378,-1,-1,-1,253.282,394.592,2,--,2,2
27,2021-06-10/03:00:00,2021-06-10/06:00:00,2021-06-10/05:28:30,0.764998,0.0856545,8.95983,71.0541,291.167,340.853,1,--,2,2
28,2021-06-18/01:30:00,2021-06-18/19:00:00,2021-06-18/09:33:30,0.78231,0.366263,28.6075,104.58,291.54,675.715,1,--,2,2
29,2021-08-06/02:20:00,2021-08-06/06:30:00,2021-08-06/04:47:30,0.189879,4.27139,97.5656,417.662,239.45,461.917,0,--,2,2
