# List of SIR/HSS events during 1995-2017 by M. Grandin, A. T. Aikio, and A. Kozlovsky
# Associated manuscript: Properties and geoeffectiveness of solar wind high-speed streams and stream interaction regions during solar cycles 23 and 24
# Submitted to J. Geophys. Res. Space Physics, December 2018
# Notes: 
# (i) V_max corresponds to the maximum solar wind speed value during the first three days after the beginning of the event.
# (ii) The end time corresponds to the first time when the solar wind speed drops below 450 km/s after reaching its maximum value.
# (iii) The last column indicates whether an ICME with Vmax < 500 km/s is embedded in the SIR/HSS event (as per the Richardson and Cane list of ICMEs).

HSS#	YYYY0	MM0	DD0	HH0	V_0	YYYYmax	MMmax	DDmax	HHmax	V_max	YYYYend	MMend	DDend	HHend	slowICME
1	1995	1	1	19	319	1995	1	4	15	706	1995	1	9	08	0
2	1995	1	10	16	412	1995	1	11	12	515	1995	1	11	21	0
3	1995	1	17	01	332	1995	1	18	20	525	1995	1	19	04	0
4	1995	1	28	18	288	1995	1	30	10	706	1995	2	5	05	0
5	1995	2	10	23	340	1995	2	13	14	680	1995	2	17	12	0
6	1995	2	25	15	260	1995	2	28	15	523	1995	3	3	20	0
7	1995	3	26	00	297	1995	3	27	21	511	1995	3	29	20	0
8	1995	4	4	17	289	1995	4	7	17	624	1995	4	13	14	0
9	1995	4	22	07	312	1995	4	25	02	503	1995	4	25	09	0
10	1995	4	26	13	415	1995	4	27	10	705	1995	4	29	23	0
11	1995	5	1	21	362	1995	5	3	13	760	1995	5	10	03	0
12	1995	5	15	18	317	1995	5	16	18	505	1995	5	16	22	0
13	1995	5	23	08	345	1995	5	24	07	670	1995	5	27	13	0
14	1995	5	29	23	386	1995	5	31	14	762	1995	6	5	05	0
15	1995	6	18	22	324	1995	6	19	23	698	1995	6	24	02	0
16	1995	6	25	10	388	1995	6	26	06	568	1995	6	27	12	0
17	1995	7	14	05	304	1995	7	17	03	672	1995	7	21	04	0
18	1995	8	7	08	340	1995	8	10	05	614	1995	8	11	10	0
19	1995	8	13	19	420	1995	8	14	17	650	1995	8	16	21	0
20	1995	9	4	19	311	1995	9	7	16	621	1995	9	10	02	0
21	1995	9	10	13	409	1995	9	13	04	613	1995	9	14	12	0
22	1995	9	15	08	388	1995	9	16	10	526	1995	9	16	18	0
23	1995	10	1	22	310	1995	10	4	20	706	1995	10	10	05	0
24	1995	10	11	18	432	1995	10	12	07	545	1995	10	13	03	0
25	1995	10	17	13	299	1995	10	20	13	559	1995	10	21	19	0
26	1995	10	30	10	311	1995	11	1	18	634	1995	11	3	11	0
27	1995	11	4	08	388	1995	11	6	05	585	1995	11	8	04	0
28	1995	11	26	15	273	1995	11	27	19	509	1995	11	27	22	0
29	1995	12	22	15	331	1995	12	25	09	667	1995	12	27	16	0
30	1996	1	2	14	375	1996	1	3	11	549	1996	1	3	20	0
31	1996	1	12	15	321	1996	1	15	01	638	1996	1	18	21	0
32	1996	1	19	14	386	1996	1	20	04	527	1996	1	20	14	0
33	1996	1	28	07	415	1996	1	30	06	574	1996	2	1	08	0
34	1996	2	1	21	428	1996	2	2	12	526	1996	2	3	17	0
35	1996	2	10	02	351	1996	2	11	19	623	1996	2	15	10	0
36	1996	2	17	23	378	1996	2	20	07	523	1996	2	21	02	0
37	1996	2	23	00	362	1996	2	24	22	516	1996	2	28	20	0
38	1996	3	9	09	342	1996	3	11	11	568	1996	3	15	00	0
39	1996	3	20	00	398	1996	3	21	23	653	1996	3	23	12	0
40	1996	3	24	05	426	1996	3	25	15	601	1996	3	26	21	0
41	1996	4	11	10	409	1996	4	12	15	539	1996	4	13	12	0
42	1996	4	16	21	428	1996	4	19	18	731	1996	4	22	16	0
43	1996	5	12	18	334	1996	5	15	13	511	1996	5	15	21	0
44	1996	6	18	20	379	1996	6	19	09	525	1996	6	19	16	0
45	1996	7	2	15	344	1996	7	4	03	553	1996	7	5	00	0
46	1996	7	30	17	371	1996	7	31	10	567	1996	8	3	01	0
47	1996	8	12	07	336	1996	8	14	21	511	1996	8	15	13	0
48	1996	8	16	07	375	1996	8	17	08	582	1996	8	17	22	0
